crash_numb,city_town_name,crash_date,crash_severity_descr,crash_time_2,year,max_injr_svrty_cl,numb_vehc,age_drvr_yngst,age_drvr_oldest,manr_coll_descr,numb_fatal_injr,numb_nonfatal_injr,trafy_descr_descr,vehc_mnvr_actn_cl,cnty_name,lclty_name,speed_limit,lat,lon,vehc_unit_numb,alc_suspd_type_descr,driver_age,drvr_cntrb_circ_descr,driver_distracted_type_descr,drug_suspd_type_descr,pers_numb,age,ejctn_descr,sex_descr
3999396,MIDDLEBOROUGH,1/18/15,Fatal injury,1:34 AM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,2,"Two-way, not divided",V1: Leaving traffic lane,PLYMOUTH,,,41.82412988,-70.82718622,1,,18,,Not Distracted,,2,16,Not ejected,Male
3999396,MIDDLEBOROUGH,1/18/15,Fatal injury,1:34 AM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,2,"Two-way, not divided",V1: Leaving traffic lane,PLYMOUTH,,,41.82412988,-70.82718622,1,,18,,Not Distracted,,3,16,Not ejected,Male
3999880,EAST BRIDGEWATER,1/11/15,Fatal injury,9:25 PM,2015,Fatal injury (K),1,25-34,25-34,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,PLYMOUTH,,40,42.02167219,-70.95051612,1,Unknown,33,"DCC1:Failure to keep in proper lane or running off road, DCC2:Not reported",Unknown,Unknown,1,33,Not ejected,Male
4000429,FITCHBURG,1/10/15,Fatal injury,6:18 PM,2015,Fatal injury (K),1,65-74,65-74,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,WORCESTER,,25,42.57499014,-71.8361659,1,"No, alcohol not used",72,"DCC1:Operating vehicle in erratic, reckless, careless, negligent or aggressive manner, DCC2:Exceeded authorized speed limit",Unknown,"No, drug not used",1,72,Not ejected,Female
4000429,FITCHBURG,1/10/15,Fatal injury,6:18 PM,2015,Fatal injury (K),1,65-74,65-74,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,WORCESTER,,25,42.57499014,-71.8361659,1,"No, alcohol not used",72,"DCC1:Operating vehicle in erratic, reckless, careless, negligent or aggressive manner, DCC2:Exceeded authorized speed limit",Unknown,"No, drug not used",2,72,Not ejected,Female
4000429,FITCHBURG,1/10/15,Fatal injury,6:18 PM,2015,Fatal injury (K),1,65-74,65-74,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,WORCESTER,,25,42.57499014,-71.8361659,,,,,,,3,40,,Male
4001468,RICHMOND,1/18/15,Fatal injury,7:50 PM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,BERKSHIRE,,40,42.41420542,-73.31274623,1,Not reported,50,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,1,50,Totally ejected,Male
4005257,BOSTON,2/5/15,Fatal injury,2:55 PM,2015,Fatal injury (K),2,25-34,55-64,Rear-end,1,1,"One-way, not divided",V1: Slowing or stopped in traffic / V2: Travelling straight ahead,SUFFOLK,,30,42.35990895,-71.12052398,1,Not reported,55,"DCC1:Other improper action, DCC2:Not reported",Not reported,Not reported,1,55,Not ejected,Female
4005257,BOSTON,2/5/15,Fatal injury,2:55 PM,2015,Fatal injury (K),2,25-34,55-64,Rear-end,1,1,"One-way, not divided",V1: Slowing or stopped in traffic / V2: Travelling straight ahead,SUFFOLK,,30,42.35990895,-71.12052398,1,Not reported,55,"DCC1:Other improper action, DCC2:Not reported",Not reported,Not reported,2,79,Not ejected,Female
4005257,BOSTON,2/5/15,Fatal injury,2:55 PM,2015,Fatal injury (K),2,25-34,55-64,Rear-end,1,1,"One-way, not divided",V1: Slowing or stopped in traffic / V2: Travelling straight ahead,SUFFOLK,,30,42.35990895,-71.12052398,2,Not reported,34,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,3,34,Not ejected,Male
4007218,EVERETT,2/7/15,Fatal injury,2:00 AM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,MIDDLESEX,,20,42.40198007,-71.06008237,1,Not reported,19,"DCC1:Driving too fast for conditions, DCC2:Not reported",Not reported,Not reported,1,19,Not ejected,Male
4010093,WEBSTER,2/4/15,Fatal injury,5:03 PM,2015,Fatal injury (K),2,18-20,75-84,Angle,1,0,"Two-way, not divided",V1: Entering traffic lane / V2: Travelling straight ahead,WORCESTER,,,42.05723664,-71.87824896,1,"No, alcohol not used",19,,Unknown,"No, drug not used",1,19,Not ejected,Male
4010093,WEBSTER,2/4/15,Fatal injury,5:03 PM,2015,Fatal injury (K),2,18-20,75-84,Angle,1,0,"Two-way, not divided",V1: Entering traffic lane / V2: Travelling straight ahead,WORCESTER,,,42.05723664,-71.87824896,2,"No, alcohol not used",78,,Not Distracted,"No, drug not used",2,78,Not ejected,Male
4011961,FITCHBURG,2/20/15,Fatal injury,6:20 PM,2015,Fatal injury (K),1,35-44,35-44,Angle,1,0,"Two-way, not divided",V1: Travelling straight ahead,WORCESTER,,,42.57941733,-71.7757826,,,,,,,1,21,,Female
4011961,FITCHBURG,2/20/15,Fatal injury,6:20 PM,2015,Fatal injury (K),1,35-44,35-44,Angle,1,0,"Two-way, not divided",V1: Travelling straight ahead,WORCESTER,,,42.57941733,-71.7757826,1,Not reported,38,"DCC1:Unknown, DCC2:Not reported",Not Distracted,Not reported,2,38,Not ejected,Male
4012043,HOPKINTON,1/24/15,Fatal injury,1:40 PM,2015,Fatal injury (K),2,21-24,25-34,Angle,1,0,"Two-way, divided, unprotected median",V1: Travelling straight ahead / V2: Travelling straight ahead,MIDDLESEX,,65,42.21440851,-71.54574349,1,Not reported,24,"DCC1:Driving too fast for conditions, DCC2:Not reported",Not reported,Not reported,1,24,Not ejected,Male
4012043,HOPKINTON,1/24/15,Fatal injury,1:40 PM,2015,Fatal injury (K),2,21-24,25-34,Angle,1,0,"Two-way, divided, unprotected median",V1: Travelling straight ahead / V2: Travelling straight ahead,MIDDLESEX,,65,42.21440851,-71.54574349,2,Not reported,33,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,2,33,Not ejected,Male
4012043,HOPKINTON,1/24/15,Fatal injury,1:40 PM,2015,Fatal injury (K),2,21-24,25-34,Angle,1,0,"Two-way, divided, unprotected median",V1: Travelling straight ahead / V2: Travelling straight ahead,MIDDLESEX,,65,42.21440851,-71.54574349,2,Not reported,33,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,3,23,Not ejected,Male
4014370,MANSFIELD,2/17/15,Fatal injury,6:52 PM,2015,Fatal injury (K),2,45-54,55-64,Angle,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead,BRISTOL,,65,42.00893913,-71.22829626,1,Not reported,54,"DCC1:Failure to keep in proper lane or running off road, DCC2:Not reported",Not reported,Not reported,1,54,Totally ejected,Female
4014370,MANSFIELD,2/17/15,Fatal injury,6:52 PM,2015,Fatal injury (K),2,45-54,55-64,Angle,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead,BRISTOL,,65,42.00893913,-71.22829626,2,Not reported,63,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,2,63,Not ejected,Male
4015043,WESTMINSTER,1/20/15,Fatal injury,6:55 PM,2015,Fatal injury (K),2,45-54,65-74,Head-on,1,0,"One-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,WORCESTER,,30,42.54930622,-71.8629368,1,Not reported,68,"DCC1:Wrong side or wrong way, DCC2:Not reported",Not reported,Not reported,1,68,Not ejected,Female
4015043,WESTMINSTER,1/20/15,Fatal injury,6:55 PM,2015,Fatal injury (K),2,45-54,65-74,Head-on,1,0,"One-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,WORCESTER,,30,42.54930622,-71.8629368,2,Not reported,46,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,2,46,Not ejected,Male
4015044,CHATHAM,1/1/15,Fatal injury,3:54 AM,2015,Fatal injury (K),1,25-34,25-34,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,BARNSTABLE,,,41.68829271,-69.96651766,,,,,,,1,22,,Male
4015044,CHATHAM,1/1/15,Fatal injury,3:54 AM,2015,Fatal injury (K),1,25-34,25-34,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,BARNSTABLE,,,41.68829271,-69.96651766,1,Not reported,34,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,2,34,Not ejected,Male
4019869,ATTLEBORO,3/2/15,Fatal injury,9:50 PM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,0,"Two-way, not divided",V1: Turning left,BRISTOL,,30,41.94466462,-71.28341853,1,Not reported,47,"DCC1:Visibility obstructed, DCC2:No improper driving",Not reported,Not reported,1,47,Not ejected,Female
4019869,ATTLEBORO,3/2/15,Fatal injury,9:50 PM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,0,"Two-way, not divided",V1: Turning left,BRISTOL,,30,41.94466462,-71.28341853,,,,,,,2,44,,Male
4022387,DARTMOUTH,2/5/15,Fatal injury,7:39 PM,2015,Fatal injury (K),2,21-24,55-64,Angle,1,0,"Two-way, divided, unprotected median",V1: Entering traffic lane / V2: Travelling straight ahead,BRISTOL,,55,41.63920878,-71.02922375,1,,64,"DCC1:Failed to yield right of way, DCC2:Visibility obstructed",,,1,64,Not ejected,Male
4022387,DARTMOUTH,2/5/15,Fatal injury,7:39 PM,2015,Fatal injury (K),2,21-24,55-64,Angle,1,0,"Two-way, divided, unprotected median",V1: Entering traffic lane / V2: Travelling straight ahead,BRISTOL,,55,41.63920878,-71.02922375,2,,21,,,,2,21,Not ejected,Male
4022387,DARTMOUTH,2/5/15,Fatal injury,7:39 PM,2015,Fatal injury (K),2,21-24,55-64,Angle,1,0,"Two-way, divided, unprotected median",V1: Entering traffic lane / V2: Travelling straight ahead,BRISTOL,,55,41.63920878,-71.02922375,2,,21,,,,3,19,Not ejected,Male
4023779,WESTBOROUGH,1/1/15,Fatal injury,3:17 AM,2015,Fatal injury (K),2,18-20,21-24,Angle,3,3,"Two-way, divided, positive median barrier",V1: Not reported / V2: Travelling straight ahead,WORCESTER,,65,42.23995377,-71.5975455,1,Not reported,20,DCC1:Not reported,Not reported,Not reported,1,20,Not ejected,Male
4023779,WESTBOROUGH,1/1/15,Fatal injury,3:17 AM,2015,Fatal injury (K),2,18-20,21-24,Angle,3,3,"Two-way, divided, positive median barrier",V1: Not reported / V2: Travelling straight ahead,WORCESTER,,65,42.23995377,-71.5975455,2,Not reported,24,DCC1:Not reported,Not reported,Not reported,2,24,Not ejected,Male
4023779,WESTBOROUGH,1/1/15,Fatal injury,3:17 AM,2015,Fatal injury (K),2,18-20,21-24,Angle,3,3,"Two-way, divided, positive median barrier",V1: Not reported / V2: Travelling straight ahead,WORCESTER,,65,42.23995377,-71.5975455,1,Not reported,20,DCC1:Not reported,Not reported,Not reported,3,20,Not ejected,Female
4023779,WESTBOROUGH,1/1/15,Fatal injury,3:17 AM,2015,Fatal injury (K),2,18-20,21-24,Angle,3,3,"Two-way, divided, positive median barrier",V1: Not reported / V2: Travelling straight ahead,WORCESTER,,65,42.23995377,-71.5975455,1,Not reported,20,DCC1:Not reported,Not reported,Not reported,4,18,Not ejected,Female
4023779,WESTBOROUGH,1/1/15,Fatal injury,3:17 AM,2015,Fatal injury (K),2,18-20,21-24,Angle,3,3,"Two-way, divided, positive median barrier",V1: Not reported / V2: Travelling straight ahead,WORCESTER,,65,42.23995377,-71.5975455,1,Not reported,20,DCC1:Not reported,Not reported,Not reported,5,19,Not ejected,Male
4023779,WESTBOROUGH,1/1/15,Fatal injury,3:17 AM,2015,Fatal injury (K),2,18-20,21-24,Angle,3,3,"Two-way, divided, positive median barrier",V1: Not reported / V2: Travelling straight ahead,WORCESTER,,65,42.23995377,-71.5975455,1,Not reported,20,DCC1:Not reported,Not reported,Not reported,6,27,Not ejected,Male
4023779,WESTBOROUGH,1/1/15,Fatal injury,3:17 AM,2015,Fatal injury (K),2,18-20,21-24,Angle,3,3,"Two-way, divided, positive median barrier",V1: Not reported / V2: Travelling straight ahead,WORCESTER,,65,42.23995377,-71.5975455,2,Not reported,24,DCC1:Not reported,Not reported,Not reported,7,24,Not ejected,Male
4023859,WEST SPRINGFIELD,2/26/15,Fatal injury,12:36 PM,2015,Fatal injury (K),3,18-20,35-44,Angle,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,HAMPDEN,,65,42.14513286,-72.6773635,1,Not reported,19,"DCC1:Operating vehicle in erratic, reckless, careless, negligent or aggressive manner, DCC2:Not reported",Not reported,Not reported,1,19,Not ejected,Female
4023859,WEST SPRINGFIELD,2/26/15,Fatal injury,12:36 PM,2015,Fatal injury (K),3,18-20,35-44,Angle,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,HAMPDEN,,65,42.14513286,-72.6773635,2,Not reported,39,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,2,39,Not ejected,Male
4023859,WEST SPRINGFIELD,2/26/15,Fatal injury,12:36 PM,2015,Fatal injury (K),3,18-20,35-44,Angle,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,HAMPDEN,,65,42.14513286,-72.6773635,3,Not reported,23,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,3,23,Not ejected,Male
4024030,QUINCY,1/20/15,Fatal injury,6:04 PM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,NORFOLK,,30,42.24209575,-71.00262082,1,Not reported,51,"DCC1:Failed to yield right of way, DCC2:Not reported",Not reported,Not reported,1,51,Not reported,Male
4024030,QUINCY,1/20/15,Fatal injury,6:04 PM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,NORFOLK,,30,42.24209575,-71.00262082,,,,,,,2,59,,Male
4024353,ANDOVER,3/16/15,Fatal injury,2:15 PM,2015,Fatal injury (K),2,45-54,45-54,Rear-end,1,0,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,ESSEX,,50,42.62660102,-71.11505296,1,Not reported,53,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,1,53,Not ejected,Male
4024353,ANDOVER,3/16/15,Fatal injury,2:15 PM,2015,Fatal injury (K),2,45-54,45-54,Rear-end,1,0,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,ESSEX,,50,42.62660102,-71.11505296,2,Not reported,54,"DCC1:Inattention, DCC2:Not reported",Not reported,Not reported,2,54,Not ejected,Male
4025020,ARLINGTON,3/23/15,Fatal injury,11:08 AM,2015,Fatal injury (K),1,55-64,55-64,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,MIDDLESEX,,30,42.40374228,-71.13968463,1,Not reported,60,"DCC1:Inattention, DCC2:Unknown",Not reported,Not reported,1,60,Not ejected,Female
4025020,ARLINGTON,3/23/15,Fatal injury,11:08 AM,2015,Fatal injury (K),1,55-64,55-64,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,MIDDLESEX,,30,42.40374228,-71.13968463,,,,,,,2,91,,Male
4027065,LOWELL,2/19/15,Fatal injury,1:00 PM,2015,Fatal injury (K),1,21-24,21-24,Angle,1,0,"Two-way, not divided",V1: Travelling straight ahead,MIDDLESEX,,,42.63369076,-71.33750911,1,"No, alcohol not used",23,"DCC1:Unknown, DCC2:Not reported",Unknown,"No, drug not used",1,23,Not ejected,Female
4027065,LOWELL,2/19/15,Fatal injury,1:00 PM,2015,Fatal injury (K),1,21-24,21-24,Angle,1,0,"Two-way, not divided",V1: Travelling straight ahead,MIDDLESEX,,,42.63369076,-71.33750911,,,,,,,2,58,,Not reported
4029203,BOSTON,4/5/15,Fatal injury,3:54 PM,2015,Fatal injury (K),1,55-64,55-64,Single vehicle crash,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,SUFFOLK,,30,42.35088795,-71.09158204,1,Not reported,60,"DCC1:Illness, DCC2:Not reported",Not reported,Not reported,1,60,Not ejected,Female
4030000,BOSTON,3/11/15,Fatal injury,12:29 PM,2015,Fatal injury (K),1,35-44,35-44,Angle,1,0,"One-way, not divided",V1: Travelling straight ahead,SUFFOLK,,20,42.3609918,-71.0700667,,,,,,,1,69,,Female
4030000,BOSTON,3/11/15,Fatal injury,12:29 PM,2015,Fatal injury (K),1,35-44,35-44,Angle,1,0,"One-way, not divided",V1: Travelling straight ahead,SUFFOLK,,20,42.3609918,-71.0700667,1,Not reported,38,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,2,38,Not ejected,Male
4031978,NEW BEDFORD,3/1/15,Fatal injury,6:53 AM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,BRISTOL,,50,41.63638995,-70.92528415,1,Not reported,19,DCC1:Not reported,Not reported,Not reported,1,19,Not ejected,Not reported
4031978,NEW BEDFORD,3/1/15,Fatal injury,6:53 AM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,BRISTOL,,50,41.63638995,-70.92528415,1,Not reported,19,DCC1:Not reported,Not reported,Not reported,2,22,Totally ejected,Not reported
4032366,DENNIS,4/13/15,Fatal injury,9:19 AM,2015,Fatal injury (K),2,35-44,>84,Angle,1,1,"Two-way, not divided",V1: Travelling straight ahead / V2: Turning left,BARNSTABLE,,35,41.73805127,-70.19219846,1,"No, alcohol not used",43,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,"No, drug not used",1,43,Not ejected,Male
4032366,DENNIS,4/13/15,Fatal injury,9:19 AM,2015,Fatal injury (K),2,35-44,>84,Angle,1,1,"Two-way, not divided",V1: Travelling straight ahead / V2: Turning left,BARNSTABLE,,35,41.73805127,-70.19219846,2,"No, alcohol not used",87,"DCC1:Inattention, DCC2:Illness",Not Distracted,"No, drug not used",2,87,Not ejected,Male
4032378,CHICOPEE,3/12/15,Fatal injury,7:53 AM,2015,Fatal injury (K),2,25-34,55-64,Angle,1,1,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,HAMPDEN,,,42.14045291,-72.58691658,1,Not reported,63,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,Not reported,1,63,Not ejected,Male
4032378,CHICOPEE,3/12/15,Fatal injury,7:53 AM,2015,Fatal injury (K),2,25-34,55-64,Angle,1,1,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,HAMPDEN,,,42.14045291,-72.58691658,2,Not reported,31,"DCC1:Unknown, DCC2:Not reported",Unknown,Not reported,2,31,Not ejected,Male
4032965,TISBURY,4/12/15,Fatal injury,5:12 AM,2015,Fatal injury (K),1,21-24,21-24,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,DUKES,,40,41.43646702,-70.63413024,1,Not reported,24,"DCC1:Failure to keep in proper lane or running off road, DCC2:Not reported",Not reported,Not reported,1,24,Partially ejected,Female
4033524,EASTON,4/12/15,Fatal injury,5:19 AM,2015,Fatal injury (K),1,25-34,25-34,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,BRISTOL,,30,41.99809016,-71.12350279,1,Not reported,29,"DCC1:Exceeded authorized speed limit, DCC2:Failure to keep in proper lane or running off road",Not reported,Not reported,1,29,Not ejected,Male
4034023,QUINCY,2/6/15,Fatal injury,12:45 PM,2015,Fatal injury (K),2,35-44,75-84,Head-on,2,0,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,NORFOLK,,30,42.24505379,-70.99962891,1,Not reported,83,"DCC1:Failure to keep in proper lane or running off road, DCC2:Not reported",Not reported,Not reported,1,83,Not ejected,Male
4034023,QUINCY,2/6/15,Fatal injury,12:45 PM,2015,Fatal injury (K),2,35-44,75-84,Head-on,2,0,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,NORFOLK,,30,42.24505379,-70.99962891,1,Not reported,83,"DCC1:Failure to keep in proper lane or running off road, DCC2:Not reported",Not reported,Not reported,2,78,Not ejected,Female
4034023,QUINCY,2/6/15,Fatal injury,12:45 PM,2015,Fatal injury (K),2,35-44,75-84,Head-on,2,0,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,NORFOLK,,30,42.24505379,-70.99962891,2,Not reported,43,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,3,43,Not ejected,Male
4034023,QUINCY,2/6/15,Fatal injury,12:45 PM,2015,Fatal injury (K),2,35-44,75-84,Head-on,2,0,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,NORFOLK,,30,42.24505379,-70.99962891,2,Not reported,43,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,4,,Not ejected,Female
4035505,BOSTON,3/27/15,Fatal injury,11:08 PM,2015,Fatal injury (K),3,25-34,75-84,Rear-end,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,SUFFOLK,,45,42.35267043,-71.11504477,1,Not reported,73,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,1,73,Not ejected,Male
4035505,BOSTON,3/27/15,Fatal injury,11:08 PM,2015,Fatal injury (K),3,25-34,75-84,Rear-end,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,SUFFOLK,,45,42.35267043,-71.11504477,1,Not reported,73,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,2,67,Not ejected,Male
4035505,BOSTON,3/27/15,Fatal injury,11:08 PM,2015,Fatal injury (K),3,25-34,75-84,Rear-end,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,SUFFOLK,,45,42.35267043,-71.11504477,2,Not reported,81,"DCC1:Failure to keep in proper lane or running off road, DCC2:Not reported",Not reported,Not reported,3,81,Not ejected,Male
4035505,BOSTON,3/27/15,Fatal injury,11:08 PM,2015,Fatal injury (K),3,25-34,75-84,Rear-end,1,1,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,SUFFOLK,,45,42.35267043,-71.11504477,3,Not reported,30,DCC1:Not reported,Not reported,Not reported,4,30,Not ejected,Male
4037195,SAUGUS,4/8/15,Fatal injury,10:53 PM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,ESSEX,,50,42.47227613,-71.02449686,1,Not reported,20,DCC1:Not reported,Not reported,Not reported,1,20,Not ejected,Female
4037195,SAUGUS,4/8/15,Fatal injury,10:53 PM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,ESSEX,,50,42.47227613,-71.02449686,,,,,,,2,69,,Female
